id;category_code;category_id;category_name;created_by;created_on;is_active;updated_by;updated_on
1;platter but solicit;5543;garrote;27316;2024-10-04;false;18411;2024-10-03
2;gift;24380;warm;1897;2024-10-03;false;23410;2024-10-03
3;duh hungrily stoop;3197;oh even earth;18048;2024-10-04;false;9383;2024-10-04
4;carefully;11767;delight scarily onto;12485;2024-10-03;true;13677;2024-10-04
5;phooey although likewise;7268;international allocation;13283;2024-10-04;false;21640;2024-10-04
6;electrify in of;24226;untidy oxygenate;27000;2024-10-04;false;1946;2024-10-04
7;reword upon;22009;around;22815;2024-10-03;true;29314;2024-10-04
8;healthily astride;3992;under whoa;18361;2024-10-04;false;22347;2024-10-03
9;edge;3739;next duh;9876;2024-10-04;false;10709;2024-10-04
10;lazily well-off fair;10872;terrible;11335;2024-10-04;true;9204;2024-10-04
