id;created_by;created_on;distributor_code;distributor_id;distributor_name;is_active;updated_by;updated_on
1;211;2024-10-04;aside up but;4639;duh;true;6049;2024-10-04
2;19966;2024-10-04;inside oh;32215;igloo fuss;false;4566;2024-10-04
3;26096;2024-10-03;oh upbeat or;29727;near celebrated indeed;false;20099;2024-10-04
4;3920;2024-10-04;huzzah sharply;17714;procrastinate;true;1298;2024-10-03
5;24115;2024-10-04;travel intermarry pish;15334;cone mmm;true;26508;2024-10-03
6;12567;2024-10-04;rarely slide unfortunately;7586;pear;true;27017;2024-10-03
7;24233;2024-10-04;whoa wedding thorn;12155;if croon yearn;false;1105;2024-10-04
8;22151;2024-10-04;tepid pants;2440;happily upside-down loosely;true;26548;2024-10-04
9;27410;2024-10-04;frank extent hmph;21400;an abnormally;true;2214;2024-10-04
10;28846;2024-10-04;gadzooks;27409;besides victoriously gee;false;26209;2024-10-03
