id;h_7_group;h_7_keyword;h_7_keyword_id;ioc_group
1;damp inside;circular;29495;mmm frantically
2;potentially for;yesterday vibrant;18649;pish doodle porter
3;drat boohoo;about;10523;ick
4;ack;obsess consequently;30892;sun like
5;irritably jiggle;hmph slap;9022;phew
6;painfully hoarse um;wire forenenst;19280;international
7;against;slump proselytise yahoo;12303;ew
8;extract mmm besides;once;27233;anenst oh
9;owlishly yearningly;blah cash;23024;psst
10;mechanically caption;usher boohoo across;20435;devil
