id;actual_month_id;created_on;enrollment;free_and_reduced_percent;i_d;is_active;meals_served;modified_on;month_id;number_of_districts;number_of_sites;reg_date;school_district_id;year
1;10156;2024-10-04;1639;15585;9894;true;11443;2024-10-04;25940;3731;1875;2024-10-04;18241;oxygenate
2;17386;2024-10-04;22615;31724;8324;true;14775;2024-10-04;29372;14754;30179;2024-10-04;19701;exploration
3;6858;2024-10-04;31012;11177;15373;false;10480;2024-10-04;16529;22408;24714;2024-10-04;5736;finally underneath
4;10421;2024-10-04;16170;20949;2749;true;438;2024-10-04;13030;13351;25044;2024-10-04;11393;pfft intensely
5;7686;2024-10-04;28849;6029;25964;false;20183;2024-10-04;25795;19192;12421;2024-10-04;6450;turbulent sell and
6;10035;2024-10-04;15728;3644;21878;false;6945;2024-10-03;23314;284;118;2024-10-04;6806;well-lit after cautiously
7;21759;2024-10-04;30753;13576;6486;true;31564;2024-10-04;29489;10946;17393;2024-10-04;23173;than
8;16984;2024-10-03;10073;22653;8172;false;5857;2024-10-04;5047;7799;23296;2024-10-04;22321;round although punctually
9;21839;2024-10-04;15467;16146;23643;false;16299;2024-10-04;22674;29815;15091;2024-10-03;689;cassava gee
10;28468;2024-10-03;18957;20613;10104;false;31329;2024-10-04;22129;13179;22684;2024-10-03;10053;daily bleakly solemnly
