id;activity_id;activity_type;created_by;created_on;date;is_active;product_id;suggested_product_id;updated_by;updated_on
1;26529;zealous anti from;19892;2024-10-04;2024-10-04;false;30719;29508;16474;2024-10-04
2;14499;unfortunately pink;30596;2024-10-03;2024-10-04;false;30029;18144;22590;2024-10-04
3;8484;ornate;1749;2024-10-04;2024-10-04;true;1809;17671;25815;2024-10-03
4;2196;tensely;15904;2024-10-04;2024-10-04;false;2792;13891;30013;2024-10-04
5;20325;runny wherever;28723;2024-10-03;2024-10-04;false;30389;12019;18932;2024-10-04
6;7107;quick snuggle;409;2024-10-03;2024-10-04;false;18543;15908;30645;2024-10-04
7;9774;reluctantly;27732;2024-10-04;2024-10-04;true;31686;21415;8939;2024-10-04
8;16155;covenant;31674;2024-10-04;2024-10-04;true;3116;29414;26447;2024-10-04
9;28224;graceful blah;27452;2024-10-04;2024-10-04;false;16769;17858;8761;2024-10-04
10;25798;certainly brr exonerate;4871;2024-10-04;2024-10-03;true;17302;24718;22565;2024-10-04
