id;allergen_id;allergen_group;allergen_name;description;g_tin;g_tinupc;product_allergen_id;product_id;u_pc
1;10285;out;joyful in;../fake-data/blob/hipster.txt;thin;hoick clear-cut authentic;28937;29062;without so generously
2;30611;calculating vivacious;what;../fake-data/blob/hipster.txt;before;outstanding for bob;9730;23002;questionable hopelessly
3;9513;immediately aware;always after;../fake-data/blob/hipster.txt;sundae anaesthetise;outside;27921;31112;an unripe until
4;28598;cautiously adjudge;qua familiar cheap;../fake-data/blob/hipster.txt;gah emergent of;eminent inspection amidst;1813;23158;humiliating despite
5;2515;throughout;pale;../fake-data/blob/hipster.txt;inasmuch;certainly boohoo posh;22476;32006;needily nor scrape
6;10874;excepting as as;pale toward black-and-white;../fake-data/blob/hipster.txt;psst;these whoa;24839;29953;abaft till
7;10399;contractor save famously;aw ultimately enchanting;../fake-data/blob/hipster.txt;successfully;storyboard oh phew;25604;4637;woefully merge dramatic
8;12468;flight verbally an;extremely liberalize;../fake-data/blob/hipster.txt;minor fashion;badly unnaturally;6214;24853;deed
9;10018;pfft cleverly;though shrill wherever;../fake-data/blob/hipster.txt;or;uh-huh uh-huh;4708;15749;that mythology basket
10;6152;correctly;pant;../fake-data/blob/hipster.txt;psst headline;critical tensely;16802;20851;spirit heartbeat
