id;allergen_id;allergen_group;allergen_name;description;g_tin;g_tinupc;product_allergen_id;product_id;u_pc
1;21902;arrogantly beneath upset;scruple lonely deafening;../fake-data/blob/hipster.txt;helplessly asset woot;underneath;11632;8043;regularly onto
2;1243;mom hmph;lone;../fake-data/blob/hipster.txt;that conjecture times;deform;17863;27323;bony deflect freezing
3;9973;generously;ample eek;../fake-data/blob/hipster.txt;questionable;portray verbally;26433;26856;yuppify
4;29127;celsius promise from;shoulder eek treble;../fake-data/blob/hipster.txt;oh ah curiously;yowza aboard;2279;2670;but
5;27550;shrilly lest whether;descriptive cycle excepting;../fake-data/blob/hipster.txt;debit other;microchip white;31647;3954;after youthful
6;9626;yesterday questionably instead;as that in;../fake-data/blob/hipster.txt;consequently dissemble duh;onto;16347;13497;since silently maintainer
7;11902;whether sticker;wry;../fake-data/blob/hipster.txt;meh;loyalty illusion usually;26883;9371;yahoo
8;11391;warmhearted;beneath persecute;../fake-data/blob/hipster.txt;ah navigate unwieldy;or;19620;7277;lest vaguely misguided
9;13370;never frozen greedy;sympathetically seldom;../fake-data/blob/hipster.txt;reiterate justly;ick ah unexpectedly;3605;2947;repeatedly owlishly invite
10;27717;king black-and-white yuck;yet before consequently;../fake-data/blob/hipster.txt;depute completion but;ugh in furthermore;30509;6791;ew
