id;added_sugar;added_sugar_uom;allergen_keywords;brand_name;calories;calories_uom;carbohydrates;carbohydrates_uom;category_id;cholesterol;cholesterol_uom;created_by;created_on;description;dietary_fiber;dietary_fiber_uom;distributor_id;g_tin;ingredients;ioc_category_id;is_active;is_merge;manufacturer_id;manufacturer_product_code;merge_date;product_id;product_label_pdf_url;product_name;protein;protein_uom;saturated_fat;serving;serving_uom;sodium;sodium_uom;storage_type_id;sub_category_id;sugar;sugar_uom;total_fat;trans_fat;u_pc;updated_by;updated_on;vendor
1;5824.46;how hmph upset;../fake-data/blob/hipster.txt;duh gee gadzooks;14621.93;via;26849.29;how;10195;16018.42;after bog but;20184;2024-10-04;../fake-data/blob/hipster.txt;1562.82;soliloquy;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;11445;false;true;24120;behind;2024-10-03;13690;../fake-data/blob/hipster.txt;even until;26576.34;whose;24363.18;27550.78;masterpiece enormously derby;5519.53;hmph deflate as;11599;4029;30744.61;poorly madly;31802.32;17385.56;../fake-data/blob/hipster.txt;7989;2024-10-04;release intent
2;22355.05;speedily sand up;../fake-data/blob/hipster.txt;brochure;28700.91;since homeschool;29789.04;why;30344;24443.12;mmm until;27015;2024-10-04;../fake-data/blob/hipster.txt;30914.03;overwork yuck;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;21895;false;true;23735;next actual rue;2024-10-04;29948;../fake-data/blob/hipster.txt;fall even;2675.1;about concerning;4734.9;21257.82;concerning;17945.39;noted;15244;12028;15227.33;times;15376.23;25283.05;../fake-data/blob/hipster.txt;22429;2024-10-04;musty masquerade what
3;6946.92;speedily save;../fake-data/blob/hipster.txt;supposing challenge;26444.77;amount incidentally;7636.61;on custom;2404;25663.99;amongst indeed;23125;2024-10-04;../fake-data/blob/hipster.txt;9433.31;shark;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;7895;true;true;13700;incidentally gah impressive;2024-10-04;9331;../fake-data/blob/hipster.txt;expatiate convection unlined;8721.38;qua appliance;10196.27;20795.07;supposing true including;2184.84;fluff;22288;23294;10778.88;attraction vaguely muddy;24116.43;17818.82;../fake-data/blob/hipster.txt;20706;2024-10-04;to out thankfully
4;20342.24;sadly stuff selfishly;../fake-data/blob/hipster.txt;boo punctuation;19506.31;than dependable briskly;18669.52;before possession aha;27710;21661.61;pro swine;15504;2024-10-04;../fake-data/blob/hipster.txt;29950.76;meaningfully yahoo;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;7752;false;true;17648;upright triumphantly untimely;2024-10-04;30918;../fake-data/blob/hipster.txt;gosh hm cooperative;3111.1;volleyball ajar;32720.41;15194.6;who;2657.55;psst;16782;15386;17321.6;euphonium;9298.4;25406.36;../fake-data/blob/hipster.txt;7306;2024-10-03;keenly mostly optimal
5;29364.77;at whose;../fake-data/blob/hipster.txt;yum where;29565.22;confound;21139.66;busily;23541;11855.85;forenenst alongside greatly;8204;2024-10-04;../fake-data/blob/hipster.txt;18278.48;positively;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;8827;true;false;6793;really;2024-10-04;24603;../fake-data/blob/hipster.txt;mask than;15841.74;shout whoa provision;11036.95;23535.7;castanet barring;28688.06;internationalize vaguely pish;15171;18509;32214.21;finally holster square;18900.01;30745.29;../fake-data/blob/hipster.txt;11572;2024-10-04;peaceful
6;12196.99;blah;../fake-data/blob/hipster.txt;after gah;26670.66;ick;24137.39;satirize;17423;7389.98;confusion;14618;2024-10-04;../fake-data/blob/hipster.txt;24800.13;ferociously unnecessarily;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;20974;true;false;19396;once on usefully;2024-10-04;5964;../fake-data/blob/hipster.txt;piglet consequently infamous;24422.27;tomatillo;13125.05;451.15;task;5616.06;throughout abseil emulsify;22334;24108;15651.79;despite through conservative;27081.9;24102.69;../fake-data/blob/hipster.txt;5989;2024-10-04;both amongst opposite
7;31203.42;athwart;../fake-data/blob/hipster.txt;qua custody;11373.8;failing card;25815.45;book at blah;6884;17670.25;interestingly;32125;2024-10-04;../fake-data/blob/hipster.txt;12686.91;bah;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;10082;false;true;31157;alongside;2024-10-04;19145;../fake-data/blob/hipster.txt;midst summary;13649.37;from aha however;23783.03;2475.69;midst;5742.62;rule nutritious;15879;27373;15130.24;footrest rot artistic;26616.82;7280.04;../fake-data/blob/hipster.txt;7714;2024-10-04;meh fooey unsteady
8;19514.98;toward;../fake-data/blob/hipster.txt;into mechanic from;1354.58;eek federate poppy;18597.92;er pearl;13561;14283.42;intently guard;27510;2024-10-04;../fake-data/blob/hipster.txt;3886.26;fooey bitterly;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;22304;true;true;30574;loftily;2024-10-04;768;../fake-data/blob/hipster.txt;jiggle whoa around;6899.07;continually;26137.34;12970.29;seriously stupendous;3378.13;afterwards impartial off;17553;16026;20775.76;farm boohoo;22050.44;7833.55;../fake-data/blob/hipster.txt;22089;2024-10-04;until
9;16770.35;like or midst;../fake-data/blob/hipster.txt;appreciate bank;6293.99;fleck transcend;30236;gloomy unwilling;6290;20873.33;kissingly hmph after;25423;2024-10-04;../fake-data/blob/hipster.txt;11953.47;however despite;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;8990;true;false;13397;aside obnoxiously astride;2024-10-04;31971;../fake-data/blob/hipster.txt;but;19419.57;sham yowza thongs;6600.11;19452.14;leading;18263.33;waltz concerning;10;17860;28945.55;what;23889.85;32001.25;../fake-data/blob/hipster.txt;16116;2024-10-04;bleach regarding
10;10175.62;joyously wire hm;../fake-data/blob/hipster.txt;almost for plugin;17553.62;indeed round;30375.9;personalise regularly cardboard;21377;26325.9;whether officially;11533;2024-10-04;../fake-data/blob/hipster.txt;17530.15;mysteriously chasuble;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;22672;true;false;10220;besides;2024-10-04;4663;../fake-data/blob/hipster.txt;upbeat forenenst appropriate;20996.87;fooey hunger;24007.99;24154.25;when cleave lest;20313.74;heavy;19137;13257;8044.53;since;14727.3;6037.12;../fake-data/blob/hipster.txt;1003;2024-10-04;ice-cream frankly
