id;created_by;date_created;history_id;ioc_category_id;is_active;product_id;school_district_id;selection_type
1;26156;2024-10-03;5f5cdf21-3e2e-4f71-9978-13b801e0255e;11339;true;29396;18956;as obnoxiously
2;24911;2024-10-04;691122f8-815c-4c70-9d55-59c04b202710;24452;true;11368;27263;ah
3;8222;2024-10-04;c33122a7-6284-40ed-851e-f0eea56f306a;24579;false;15306;5392;pronoun tapioca supposing
4;5457;2024-10-04;25493325-0bbd-456c-b8c0-b98c324d8446;8876;true;5199;20945;excess until
5;21559;2024-10-04;582e2299-1117-4d9c-bff5-41c20b7221e0;26772;false;3568;17809;provided
6;29174;2024-10-04;78ac5096-cb69-42b8-83fc-726912ff2743;7943;true;28168;22140;forenenst
7;23783;2024-10-03;27aa9c50-5bd3-4544-b7c8-99625e109837;16833;true;17658;358;meh
8;521;2024-10-03;9e5cc76b-db06-464a-94ff-d475fcc4d783;15105;true;182;19859;excluding woot velvety
9;13312;2024-10-04;a92a080b-473a-4eb8-bd6e-48e5baede19a;16169;true;10104;1552;excess
10;1770;2024-10-04;e07c6689-a210-4e56-8c26-bd48fd2402b3;26732;false;14757;19392;ugh
