id;created_by;created_on;distributor_id;is_allocated;product_distributor_allocation_id;product_id;updated_by;updated_on
1;19575;2024-10-04;11394;true;cc26a700-346e-424a-a99b-e9a3940bb640;25129;14373;2024-10-04
2;13581;2024-10-03;15894;false;e34ac170-7974-46da-80d9-60ec8d243d81;13204;21634;2024-10-04
3;7791;2024-10-04;15487;true;ae9209ef-1555-453f-b22c-0834e788dcb1;16562;23697;2024-10-04
4;9884;2024-10-04;11643;false;f943fe8f-b339-481d-8a69-038288f0936b;12090;5542;2024-10-04
5;2387;2024-10-04;27875;false;4ba9b4ed-ea8c-471e-946b-428a3bd9fd4e;29080;19465;2024-10-04
6;7690;2024-10-04;17564;true;30c9be5c-1133-461f-a053-22b78338832c;28216;8195;2024-10-04
7;23481;2024-10-04;7156;true;a5a3c537-1789-410e-92cd-c2571289f553;11850;18597;2024-10-04
8;30046;2024-10-04;4443;true;b1badaab-34e7-41a8-a879-8c7cba2d2e5c;13223;16907;2024-10-03
9;15705;2024-10-04;24455;false;223c1f4f-6736-4f67-8800-9c1ecfd3e902;12824;32476;2024-10-03
10;16391;2024-10-04;27148;true;97bc6c77-e59b-4914-8aaf-6be690b5545a;15890;15818;2024-10-04
