id;created_by;created_on;g_tin;is_active;product_gtin_id;product_id;updated_by;updated_on
1;32649;2024-10-04;prejudge broken yieldingly;false;30282;6829;15600;2024-10-03
2;18685;2024-10-04;nor afraid;false;23711;18925;22042;2024-10-04
3;1947;2024-10-04;egg gust;false;25749;22516;29641;2024-10-04
4;1057;2024-10-03;gah ouch beside;false;28268;5897;27060;2024-10-04
5;22108;2024-10-04;nautical phew;false;20249;2053;12687;2024-10-03
6;3477;2024-10-04;barring spear marketplace;false;23167;30227;8761;2024-10-04
7;5237;2024-10-04;coaxingly ick;true;22547;29655;11578;2024-10-04
8;27894;2024-10-04;tomb tomorrow;false;31204;15140;19975;2024-10-04
9;12235;2024-10-04;blah;true;26157;26943;29836;2024-10-04
10;23309;2024-10-04;subexpression;false;23678;7788;27579;2024-10-04
