id;gtin_upc;h_7_keyword_id;i_oc_group;product_h_7_id;product_id;product_name
1;speedy;32068;brook superb;15371;29808;pronoun print
2;scar;14417;fooey fast telescope;26846;26009;gah
3;for;25807;troubled through;984;17364;ajar
4;nervous that;11744;alongside other yahoo;7857;23012;finally till
5;tut;17275;spook;31226;7761;soon gracefully hm
6;er;3680;enthusiastically though reword;7976;6748;suddenly
7;overtrain;26279;between gee outsource;10394;32616;plus
8;once;18277;crank;27036;18279;supposing delete
9;papa elementary monasticism;22484;cuddly ugh;15676;22312;per when
10;punctually;27872;as polarisation reassuringly;30058;31979;government
