id;gtin_upc;h_7_keyword_id;i_oc_group;product_h_7_id;product_id;product_name
1;zealous overwork upwardly;25705;continually;20782;10133;er violently
2;while;25636;configuration;9659;20349;but
3;overstay uh-huh whereas;15083;lean underachieve;755;10893;requite save
4;under buck splay;12250;arrogantly;10658;2401;nor drowse yippee
5;astride;10014;wilted productive gosh;29927;13758;after another
6;polished safely pish;8413;brightly oily;22358;9099;between but
7;for;10379;nervously negotiation;19300;28077;putrid by
8;truthfully by;27061;whoa;25775;9396;striking shrilly lack
9;mid;32078;nutritious which;18874;8739;nor black
10;obedience punctuation;28573;shear enlist separately;15370;22679;scornful before kielbasa
