id;gtin_upc;h_7_keyword_id;i_oc_group;product_h_7_id;product_id;product_name
1;ew;27625;horn mortise formal;22100;25742;oval platter limply
2;capsize harp arbitrate;30264;midst woot;4656;26914;hmph
3;furthermore gosh;26303;gleefully relative;19608;17496;incidentally
4;nor;3655;up;25858;30732;makeover grouper
5;fooey whenever inveigle;5744;weekly spanish;21454;31571;coaxingly limply gentle
6;an spork;22720;for opera hypothesise;12481;4164;aside
7;talkative;27207;populist certification palate;31551;28011;opposite absentmindedly
8;ouch quiet middle;6407;zowie scent;22268;22066;spook event up
9;under circa;18155;descent gracious;7982;20725;before regarding formation
10;for up instead;13240;hopeful steel;29430;14855;curry overcharge
