id;created_by;created_on;image_url;is_active;product_id;product_image_id
1;2413;2024-10-04;gratefully staid peppery;true;17757;8085
2;9133;2024-10-04;limping mixed zowie;true;2478;20969
3;1429;2024-10-04;ugh quirkily;true;7678;2554
4;15573;2024-10-04;definitive considering concerning;false;28599;204
5;21019;2024-10-04;concerning defenseless about;true;26133;2065
6;12139;2024-10-04;twist considering;false;19304;23141
7;10627;2024-10-04;silent spew emulsify;false;5817;21636
8;6047;2024-10-04;apud to;true;29198;28226
9;23801;2024-10-04;submissive;false;30513;24684
10;26523;2024-10-04;circulate;false;3036;9190
