id;created_by;created_on;image_url;is_active;product_id;product_image_id
1;11936;2024-10-04;veto slather pike;false;11669;25927
2;21168;2024-10-04;reflecting furthermore;true;16255;2019
3;424;2024-10-04;since glider gadzooks;false;9128;21862
4;15733;2024-10-03;ferociously;false;23043;3104
5;18960;2024-10-04;pertain deer;false;30797;4645
6;25114;2024-10-04;anti supposing;false;6995;19739
7;11033;2024-10-04;meh atop;true;2103;22189
8;13833;2024-10-04;numb refute afore;false;19001;23702
9;18734;2024-10-04;director optimistically silently;false;22751;13520
10;5156;2024-10-04;ew amidst loose;true;17094;5366
