id;created_by;created_on;is_allocated;manufacture_id;product_id;product_manufacturer_allocation_id;updated_by;updated_on
1;4443;2024-10-04;true;2776;5281;ee884e49-3515-43f4-a253-6259e9a5fa17;14109;2024-10-04
2;29656;2024-10-04;false;14907;14498;61df693f-c17d-4bdb-9b04-05ff88aca169;9099;2024-10-04
3;10698;2024-10-04;true;31883;9564;8bc4760c-2b99-41f2-8168-f3625e32da20;13349;2024-10-04
4;28998;2024-10-04;true;22061;13835;3240a346-0c70-424a-9677-38f41160160a;22570;2024-10-04
5;21876;2024-10-03;false;27228;30883;86d4cd5d-022a-4654-be1b-32b3d9519587;5026;2024-10-04
6;30917;2024-10-04;false;27648;19363;6ee8fff5-0c72-4c38-ba02-75bb6bfc1946;12916;2024-10-04
7;21036;2024-10-03;true;10887;18597;465f7b98-0a2b-40c1-9e58-047e0898c800;23416;2024-10-03
8;1581;2024-10-03;true;18321;23593;00d43890-044c-464b-97e9-e99dfa087fef;32687;2024-10-03
9;26533;2024-10-04;false;7375;29782;87e4079f-dfe3-418e-acea-f137e80ceb4e;6802;2024-10-04
10;2869;2024-10-04;false;28044;21455;8ee3f8e0-c34d-47dd-b117-a2f4bb0a2b73;3224;2024-10-04
