id;added_sugar;added_sugar_uom;allergen_keywords;brand_name;calories;calories_uom;carbohydrates;carbohydrates_uom;category_id;cholesterol;cholesterol_uom;created_by;created_on;description;dietary_fiber;dietary_fiber_uom;g_tin;ingredients;i_oc_category_id;is_active;is_merge;is_one_world_sync_product;manufacturer_id;manufacturer_product_code;manufacturer_text_1_ws;merge_date;product_id;product_label_pdf_url;product_name;protein;protein_uom;saturated_fat;serving;serving_uom;sodium;sodium_uom;storage_type_id;sub_category_id;sugar;sugar_uom;total_fat;trans_fat;u_pc;u_pcgtin;updated_by;updated_on;vendor
1;7920.54;wisecrack ew;../fake-data/blob/hipster.txt;freckle oof;3358.48;strictly ribbon bah;28911.34;premier;21522;11870.48;after equally;22610;2024-10-04;../fake-data/blob/hipster.txt;28384.36;duh like;on well-made;../fake-data/blob/hipster.txt;32745;true;false;true;15825;furthermore upright yum;even toe through;2024-10-04;24564;../fake-data/blob/hipster.txt;fooey commodity;14724.01;reckon smug;19158.85;24695.96;oh;31103.89;cleaner;24965;14853;9599.74;aw;29279.28;24404.2;provided fall;waltz formamide;2035;2024-10-04;aha pfft
2;30548.51;necessary brightly hmph;../fake-data/blob/hipster.txt;dutiful however;19894.13;rationalize graceful;32107.42;remand restructure;26681;17387.27;academics sesame limping;16417;2024-10-04;../fake-data/blob/hipster.txt;18783.11;from chunter where;finally conversation;../fake-data/blob/hipster.txt;16750;true;false;true;24239;across;failing juggernaut;2024-10-04;24520;../fake-data/blob/hipster.txt;electrify upon justly;3390.8;gust pupil;1692;2219.01;aw eek reorient;16586.29;quintessential fatal potentially;28289;16377;28931.03;rawhide bicycle;15299.4;1401.08;utterly evenly;smooth;18247;2024-10-03;median
3;22732.8;joy awareness mortally;../fake-data/blob/hipster.txt;militate drain inferior;10233.6;degrease;31733.24;restfully;24337;30511.34;pace inside faithfully;13521;2024-10-04;../fake-data/blob/hipster.txt;20917.65;amused toward;obesity;../fake-data/blob/hipster.txt;25901;true;false;true;31565;remorseful;who ripe;2024-10-03;16154;../fake-data/blob/hipster.txt;drat murky;13045.09;for behind;15706.49;21440.39;aw which on;5728.66;although meh;28662;32761;11570.24;coexist personal;13262.56;6696.53;fold annual;frivolous when;5188;2024-10-04;outside
4;28940.89;agitated dandelion for;../fake-data/blob/hipster.txt;yieldingly since;23095.98;which consign;23950.21;from against;18030;13472.68;who;31465;2024-10-04;../fake-data/blob/hipster.txt;28085.5;acquire than;optimal;../fake-data/blob/hipster.txt;3909;false;true;false;17116;thin duh;reapply but;2024-10-04;17987;../fake-data/blob/hipster.txt;given poetry;25035.35;slowly basic weakly;6780.78;675.26;recklessly bloom orchestrate;9769.71;hunger adumbrate daily;22036;3970;15638.34;excluding;22643.49;6453.74;slake meaty;whether providence ready;20897;2024-10-04;provided generously
5;23494.67;forenenst however;../fake-data/blob/hipster.txt;however;11600.71;handy;6892.03;guilty;16265;7259.71;ultimately fellow upon;24576;2024-10-04;../fake-data/blob/hipster.txt;4615.5;recovery overplay gleefully;yahoo;../fake-data/blob/hipster.txt;15563;true;true;false;3790;progress;as wicked tightly;2024-10-04;523;../fake-data/blob/hipster.txt;yowza though;14521.2;cautiously boo shyly;29362.46;32462.84;randomize remarkable frantically;689.53;before oof;3106;22358;11140.96;ugh;5479.36;10681.65;since;ravel ack;20649;2024-10-04;scarily dress
6;14978.61;geez;../fake-data/blob/hipster.txt;for;21806.28;yowza instead until;3221.86;pish ack;19538;12129.84;plus madly;19353;2024-10-04;../fake-data/blob/hipster.txt;32051.99;instantly pish;aggravating tricky attest;../fake-data/blob/hipster.txt;11291;true;false;false;27404;frugal character culminate;toward anticodon mob;2024-10-03;20805;../fake-data/blob/hipster.txt;throughout ugly miskey;26655.69;vulgarise rationalize;25213.78;25550.38;after;3172.45;shakily barring;10129;11996;1609.93;phew how;4364.16;24749.85;bore underneath bravely;courtroom why;12644;2024-10-04;old
7;8654.74;yippee quirkily though;../fake-data/blob/hipster.txt;after list amid;28566.93;pish;17601.26;depend speedily;23754;12894.29;er deduce meander;8941;2024-10-04;../fake-data/blob/hipster.txt;20973.57;ugh above;often present cooperative;../fake-data/blob/hipster.txt;29007;false;false;false;31496;er failing inside;whirlwind;2024-10-03;20724;../fake-data/blob/hipster.txt;er shoddy;6508.5;not boohoo portly;18971.42;9219.63;spark;10823.34;what enroll;1874;28329;9356.94;yippee foolishly;15277.92;10354.89;unlike fund;diver fall;29476;2024-10-03;or continually
8;6866.71;tight;../fake-data/blob/hipster.txt;brr give but;31850.11;slushy oh;29762.31;meaningfully;24618;20313.22;of nor;30240;2024-10-04;../fake-data/blob/hipster.txt;14322.58;freezing given mindless;geez;../fake-data/blob/hipster.txt;17210;true;false;false;4986;technologist shrill;fedora oxygenate;2024-10-04;2051;../fake-data/blob/hipster.txt;capsize wing zowie;10518.89;irritably;18901.95;22278.84;gadzooks gosh;5990.99;clone knottily oddly;28806;32386;9562.79;arid negligible;18426.11;8420.43;swing unlike ouch;before whereas;20747;2024-10-03;yum scarcely overwork
9;15979.38;settler over;../fake-data/blob/hipster.txt;yuck mothball well;14072.09;puppet rebuke querulous;28958.38;shout bloom;8321;12697.43;appliance;24378;2024-10-03;../fake-data/blob/hipster.txt;17199.35;excitable drat until;shyly where;../fake-data/blob/hipster.txt;6913;false;true;true;24097;contrast;woot potentially vastly;2024-10-04;15052;../fake-data/blob/hipster.txt;whereas;27706.21;mechanically;32027.01;8088.19;lest;31567.04;supposing;6754;20643;10657.26;suitcase covenant;24806.91;13820.7;viciously;against or;25379;2024-10-04;silent
10;16279.67;duh;../fake-data/blob/hipster.txt;ah;26579.89;ah hmph;4799.7;breastplate;15898;17431.18;yuck everlasting;31576;2024-10-04;../fake-data/blob/hipster.txt;19169.75;absent nor black;excluding merit;../fake-data/blob/hipster.txt;17628;true;true;true;10647;unethically since;defrag owlishly;2024-10-04;11334;../fake-data/blob/hipster.txt;loose when;19758.79;behind emulsify;19354.82;6187.03;fisherman an alliance;31986.25;pfft intend;9565;27483;8433.17;proliferate;1686.12;26336.31;questionable juicy ouch;within pillory;21536;2024-10-04;finished whereas categorise
