id;created_by;created_on;is_active;product_id;product_upc_id;u_pc;updated_by;updated_on
1;13586;2024-10-04;true;23844;16333;mousse;25073;2024-10-04
2;9491;2024-10-04;false;17057;12080;times wasabi beneath;939;2024-10-04
3;14079;2024-10-03;false;21384;31041;ick ligate;3092;2024-10-04
4;15510;2024-10-04;true;2435;31119;tectonics since sympathetically;2659;2024-10-04
5;16793;2024-10-04;false;29960;7916;yowza attest;4107;2024-10-04
6;1606;2024-10-04;true;14874;16190;smug internal unexpectedly;5106;2024-10-04
7;14892;2024-10-04;true;25470;18803;yahoo colour;6128;2024-10-04
8;23872;2024-10-03;false;27613;13475;waltz whoa;2693;2024-10-04
9;26426;2024-10-04;true;24029;32263;weatherize sternly impostor;8806;2024-10-04
10;3875;2024-10-04;true;25159;19972;as horn distinction;8493;2024-10-04
