id;created_by;created_on;is_active;parent_role_id;role_id;role_name;updated_by;updated_on
1;22504;2024-10-04;true;26298;18540;meh starboard;9330;2024-10-04
2;5883;2024-10-04;false;27576;13753;sudden severe witty;7358;2024-10-03
3;1656;2024-10-04;true;14216;10366;hmph apt hm;21414;2024-10-04
4;9574;2024-10-04;true;21620;26110;likewise unwritten amend;12950;2024-10-04
5;28585;2024-10-04;true;1900;5422;courageously bob;1072;2024-10-04
6;13006;2024-10-04;true;13831;5769;scotch plus;19146;2024-10-04
7;23471;2024-10-04;false;23390;24469;spork;4966;2024-10-04
8;29521;2024-10-04;true;31504;31384;thoughtfully;23711;2024-10-04
9;2345;2024-10-04;false;16175;2937;better blah at;16824;2024-10-03
10;18987;2024-10-04;false;17744;16916;equally mostly crocodile;31334;2024-10-04
