id;i_d;one_world_value;product_value;set_name
1;9769;as mmm publicize;delight lest;wilted till whereas
2;10364;rotating;fortunately rich;queasy ick
3;11672;caring;braid until;adumbrate
4;10357;maintainer;carp;soliloquy via
5;22317;shoot ferociously when;pro;sauerkraut arrogantly
6;17142;unless;frozen if aha;except whereas
7;29260;neatly floodlight incomplete;shakily yet essence;over athwart venture
8;27964;abnormally at;pish;tapioca gently mysteriously
9;768;instead hasty;vain;factorize knight
10;16068;long;gah portray;unlawful jeopardise bonnet
