id;category_id;created_by;created_on;is_active;sub_category_code;sub_category_id;sub_category_name;updated_by;updated_on
1;2060;31187;2024-10-04;false;blah reassemble neck;26200;impostor er qua;1478;2024-10-04
2;13004;14875;2024-10-04;true;out nor;10919;during content outrun;24171;2024-10-04
3;8104;29318;2024-10-03;false;humidity standard;26403;capitalise;15286;2024-10-03
4;9984;9055;2024-10-04;false;wildly gladly;15404;of suspiciously honesty;26178;2024-10-04
5;30033;3160;2024-10-04;true;vista bidet;3565;cauliflower likewise;23896;2024-10-04
6;30058;19730;2024-10-04;true;absent;32052;above;19178;2024-10-04
7;24647;28402;2024-10-03;false;however;29361;over eyeglasses;20198;2024-10-04
8;15468;27776;2024-10-04;true;including reporter uh-huh;25398;enormously;17967;2024-10-04
9;28354;18262;2024-10-04;false;regarding cinema;959;so who;7920;2024-10-03
10;11773;4458;2024-10-04;true;endow heartbeat uh-huh;8228;following anti lest;7623;2024-10-04
