id;created_by;created_on;description;file_extension;file_name;file_path;file_size;is_active;is_sent_by_fig_support;last_updated_by;last_updated_on;ticket_id;ticket_transaction_id;user_id
1;29521;2024-10-03;../fake-data/blob/hipster.txt;brace excluding unknown;oh since swear;youthfully;31952;false;false;9977;2024-10-04;23854;245;29740
2;30835;2024-10-04;../fake-data/blob/hipster.txt;apropos though outside;sniff;unabashedly upon concerning;6155;false;false;4434;2024-10-04;11892;11694;19206
3;30547;2024-10-04;../fake-data/blob/hipster.txt;mobilise reword duh;newsstand;fooey absent ha;2553;false;true;17454;2024-10-04;8871;16688;32538
4;5928;2024-10-04;../fake-data/blob/hipster.txt;oh burdensome;iterate as;exalted instead;24007;true;true;11775;2024-10-04;21804;10003;5143
5;25217;2024-10-03;../fake-data/blob/hipster.txt;from kowtow hence;forceful scarcely;fathom dimly;12915;false;true;7110;2024-10-03;24650;17181;3046
6;19554;2024-10-04;../fake-data/blob/hipster.txt;serve;whoa blissfully;debut unpleasant basket;32156;false;true;1849;2024-10-04;6127;8351;14687
7;28408;2024-10-04;../fake-data/blob/hipster.txt;numeracy;qualified;pro colorless midst;24282;true;true;31386;2024-10-04;20661;23370;7859
8;30418;2024-10-04;../fake-data/blob/hipster.txt;hotfoot;huzzah because;papa goose;10492;false;true;17333;2024-10-04;32081;1985;27877
9;26148;2024-10-04;../fake-data/blob/hipster.txt;lobotomise;psst political;larva apropos;12993;true;false;9696;2024-10-04;18223;26643;24592
10;30963;2024-10-04;../fake-data/blob/hipster.txt;pertain;ugh dislocate;modulo;28966;false;false;28822;2024-10-04;12658;8946;23006
