id;added_sugarsgper_serving;all_allergens;brand_name;calcium_camgper_serving;calorieskcalper_serving;cholesterolmgper_serving;c_n_credited;c_n_crediting;c_n_expiration_date;c_n_label_document;c_n_label_statement;c_n_product_identification;c_n_qualified;c_n_qualifier_code;dietary_fibergper_serving;downloaded;eggs;fish;food_category;functionalname;gtin;halal;hierarchical_placement;information_provider;ingredientsenglish;iron_femgper_serving;kosher;lastupdated;longdescription;milk;nutrient_format_type_code_reference_code;nutrient_quantity_basis_type_code;nutrient_quantity_basis_unitof_measure;nutrient_quantity_basis_value;nutrientsperservingcalculatedfrombymeasurereportedamount;peanuts;p_fs_creditable_ingredient_type_code;p_fs_document;p_fs_total_creditable_ingredient_amount;p_fs_total_portion_weight;potassium_kmgper_serving;preparation_state_code;product_formulation_statement;proteingper_serving;saturated_fatgper_serving;serving_description;serving_size;serving_unitof_measure;servings_per_case;sesame;shellfish;shortdescription;sodiummgper_serving;soybeans;sugarsgper_serving;total_carbohydrategper_serving;total_fatgper_serving;trade_channels;trans_fatgper_serving;tree_nuts;u_sda_foods_material_code;u_sda_foods_products_description;vendor_name;vendor_id;vitamin_dmcgper_serving;wheat
1;boo;abaft orchid tapioca;tight;9719.12;boo teammate once;unnecessarily caption what;frail unto verbally;poetry beyond however;handsome circular yuck;whose whenever;../fake-data/blob/hipster.txt;gosh;similar though skeletal;store meanwhile gratefully;rarely orient;2024-10-04;carelessly;in-joke terrorise crossly;how gift;quick-witted;as mmm;yippee digitize;needily anguished;afore arcade;../fake-data/blob/hipster.txt;gee mmm beep;aha popularity;2024-10-04;gadzooks lest once;even that;zany uncommon supposing;drat;help massage;eminent;true;considering;who;serenade concerning;hygienic slow whoever;indeed outside offensively;apostrophize quick-witted flowery;intrigue;frilly;tune-up;11925.61;mill from yuppify;adjudge;punctual;bah ramp;peppery;who marimba insist;ouch;hmph;worth unless;excited oh following;1832.14;aha steel odd;above musty;sharply;onto satirise;than;dampen yuck abaft;round whoever yet;fumigate how freely;really incinerate;scrape
2;whether dwell odd;gadzooks;except;28901.75;save;populist which fooey;instead;next;inasmuch;gigantic;../fake-data/blob/hipster.txt;unruly;up properly;beard coordination via;um;2024-10-04;with;yahoo;inside readies violently;deplore;riser;cheerful how perfectly;scarification acidly whereas;modulo;../fake-data/blob/hipster.txt;proud rim;victoriously;2024-10-04;aside transom;up floodlight meaningfully;gleefully;pish meh finally;fleck;rusty per unsteady;false;pace unless;following woot;exhaust continually ick;scarcely;jeopardise;pish develop;whopping beside;put bathhouse prestigious;agitated hm until;8267.59;next exalted meh;thankfully aside kowtow;painfully;as;righteously once mainstream;caption physically infinite;rationalize;till;till complicated beneath;majestically onto;8013.13;perfectly opposite;yahoo aha pish;resolve;blah blah dark;along;scarily plus;scamper;creative;instantly near;after fantastic ligate
3;unscramble famously basket;tomorrow geez;immaculate;28725.58;rightfully cassava offensively;restfully pace;pity;smarten playfully horst;modulo;queasily boo whose;../fake-data/blob/hipster.txt;incidentally;though psst yippee;lonely gah needily;coolly huzzah and;2024-10-04;including always willow;beyond dream majestic;elver;swanling by;academics;shear;request unless internalize;dime legislature and;../fake-data/blob/hipster.txt;hmph less beneath;frivolous boo;2024-10-03;lift swerve;larva;winged notwithstanding sleepily;where oh;junior;noisily bravely hmph;false;alongside roughly hopelessly;till;numeric extremely;slipper;yet;dead;behind;when pillory abaft;innocent;18524.73;since oddly because;potentially;ouch;why yuppify;natural;where which;precious;save whose sleepy;highly loyally;naturally duh;2570.14;ignorance;save whenever switchboard;beyond enhance;mmm;jaggedly because;second-hand;owlishly hasty;that;nor;round remand mantua
4;supposing;eek scramble which;minister so spice;834.03;but whether;a soggy;safely;catalyst procrastinate;with;meanwhile;../fake-data/blob/hipster.txt;nucleotidase;instead;toward govern;since;2024-10-04;aside toward altruistic;misspend elver voluntarily;even past;vary;shakily tomorrow sedately;mothball sadly valiantly;political unblinking unbearably;broadly afore flight;../fake-data/blob/hipster.txt;joyful joyously down;ostrich avow yummy;2024-10-04;that;regulate;indeed;definitive hydrolyse bulky;sardonic uh-huh fat;categorise psst inside;true;pixellate boohoo;gah blah;substitution tray pear;wherever edge;gosh after governance;ah unsung indeed;massive bind;at scoff;frail;21536.1;beloved taxicab aw;mixed yowza pointless;cork;warm whether hm;bah continually;plagiarise quizzically;aha incidentally;oxidise onto;elevator;doorpost tricky times;8315.5;eek rim;usually;brr unless;till psst;ew tender but;forceful;how graceful phooey;testing;oddball instead;motor cycle marketplace
5;um psst;sprinkles impanel;per fictionalize grounded;5323.57;event steel;hm travel nun;fooey utter;between except pack;wrongly swine but;individual but aged;../fake-data/blob/hipster.txt;sick provided hearten;finally aha short;yieldingly of;excepting merrily next;2024-10-04;puppet loyalty while;that diligently after;despite wallaby;maestro whether geez;equatorial;chops aha;really repeat;gee democratize;../fake-data/blob/hipster.txt;hmph newsprint;on;2024-10-04;digit;essay sans under;against whereas;when;an separately;foolishly triangular sway;false;ouch beside;pfft;boo ugh ragged;calculating while utterly;spanish quicker less;gosh pfft;while;now urgently acknowledge;during;30830.63;switchboard;promptly fence;boohoo;unto clamour;hygienic sensitize sticker;westernize oh impractical;penalise;mount amid cantaloupe;overdue republican;provided;9724.58;minus underneath;another reflate;ramp plus but;furthermore outstanding finally;amid excitedly redact;meanwhile;obediently;oxygenate as;roughly;rationalize
6;within colorfully usher;opposite;outgoing;969.73;upright;pulse dazzling;including boo;bidet if;anenst;questioningly;../fake-data/blob/hipster.txt;enfold whenever;smoothly playfully knowingly;illiterate;drat who fast;2024-10-04;since;community though eek;pity wing;onto shark stealthily;pish insignificant card;internalize;broadside;salty whoa yowza;../fake-data/blob/hipster.txt;excepting;innocently;2024-10-04;irritably so;rough inasmuch delight;yet joyfully brown;inquisitively grave;co-producer;colorful demob;true;flame;zowie cake coaxingly;abacus;above zowie bide;to;synergy whenever;chase by;yuck vivaciously;politely;32173.67;funny purse;fair celsius;sedately;below vague;alongside solemnly;flowery messy;who;supposing tabulate likewise;gah;discrete unlined;27293.27;circa diligently final;symbolise where;form elliptical;monthly querulous towards;sand upbeat;steeple athwart colorfully;weight how or;wavy consequently;zowie queasy;clamour peninsula
7;upon uh-huh;while guacamole tectonics;stir-fry because finally;18675.91;incidentally custody;neglect;that whoa;jubilantly up;instead beyond;gah bruised;../fake-data/blob/hipster.txt;slowly cleaner;soybean upwardly gloat;blacken frank;since qua;2024-10-04;onto milestone phrase;rigid continually;afterwards majestic;closely cruelly superb;although ew youthfully;shady enchanted coolly;sonar embarrassment under;except;../fake-data/blob/hipster.txt;tenant ugh concrete;whoa;2024-10-04;mid subdued;clearly;fatal nor about;calculating;diver promptly;silk;false;fraternise;gee flashy;before skyscraper or;sympathetically opposite;pneumonia phew brush;below;humor formamide actual;before why;apologise;6846.05;supposing provided;before;excepting;valley back toward;how pity only;above observe;gastropod when rare;tomatillo;smog ouch gadzooks;fidget sunny;15530.5;besides given;shakily bleak;inquisitively promptly steel;silk in;begonia dock;underpants;defensive besides;memorable among;degrease secularize;on
8;covenant;amidst ew;um;25846.7;boohoo hence but;deny;unto baa;upside-down;since;beside austere under;../fake-data/blob/hipster.txt;sin yowza;but defiantly;sunny toward gastropod;swiftly heavy apprehensive;2024-10-04;ferret bathhouse;allocation understated hmph;who coolly;lost hence aw;nautical brr tricky;agreeable;scrutinise short;gosh;../fake-data/blob/hipster.txt;ingratiate;reasonable break;2024-10-04;consequently;unknown;vol;vice tuba regarding;supplier;unto carnival;false;considering pessimistic;boohoo revere;striking bleakly;ick phew phooey;nervously joshingly unto;truthfully because for;anenst;decent joint ugh;responsibility;26237.07;airman generously ew;yippee considerate notarize;in softly without;drat athwart pulp;whereas supposing;married;intermix zowie;deduce mainstream since;searchingly frightfully sundae;pull;24491.72;how underplay sociable;vibraphone anenst;versus search nor;geez;phew yawningly stratify;aw cute;before merrily;yuck aboard;though around;uproot consequently
9;yahoo adrenalin;continually ostrich inquisitively;once hence since;13436.31;forearm;turret;phooey gosh;equate coaxingly;gee;jubilantly tune-up;../fake-data/blob/hipster.txt;ick;distinction convince;freezing idealistic cruelly;oof hm;2024-10-04;ha if;finally replicate geez;only why beside;same hunt;prime;uh-huh;psst noxious depend;for;../fake-data/blob/hipster.txt;snowplow via gosh;ridge hm onto;2024-10-04;swing bah;posh easily;that scornful;as pigsty;gladly pull;how;false;hmph shudder whoever;against trust;though investigate;barring;meaningfully yet moisten;and;sardonic per after;elastic;bah beside patiently;29631.55;young matter;hmph atop;um;intently gah an;vast carefully;which;finally anenst upright;uncover;how midst blah;scout completion;14449.21;violently deep;until if eek;boss gift;factorize;whose restfully daily;galvanize;muddy beside inasmuch;seriously fray nor;finally after upsell;however beneath
10;pfft internalize;now though;implode bashfully jaggedly;25597.8;onto off bestride;multicolored;toward;clumsy;grouchy over;glorious stained;../fake-data/blob/hipster.txt;once satirize;delirious;anti at unto;when fork navigate;2024-10-03;hm;whose pro;pace dearly;epic;lest wonderfully scrape;reassuringly bah rundown;supposing who up;yieldingly ouch well-groomed;../fake-data/blob/hipster.txt;aw;endow;2024-10-04;following;optimistic deny amongst;suddenly hepatitis when;after oof;second-hand against;since strong;true;enthusiastically;incidentally going;hmph for blah;when justly;mmm amongst;since;via;realistic;healthily since;16506.95;since hefty;rapidly;whup now down;busily frilly;hubris;honorable peppery in;thankfully cope;information stoop;clamor plus;gestate staid;30174.31;intently;sedately;scratch aw thin;modulo gah;by;yesterday;badly till acquaintance;outdo;yahoo;fooey quietly
