id;created_by;created_on;is_allocated;school_district_id;updated_by;updated_on;user_district_allocation_id;user_id
1;1586;2024-10-04;false;16836;2359;2024-10-04;ce08557a-fcc7-4111-a3b6-d79d6b40aa39;26373
2;16423;2024-10-04;true;17045;1246;2024-10-04;fb4f97de-7d86-4589-8c35-d397d73ad4af;8660
3;12445;2024-10-04;false;12039;26114;2024-10-04;fab6ecb0-af13-4b37-8d3c-5a6c5c1aae0a;19022
4;3160;2024-10-03;true;17136;12929;2024-10-04;9fe3638a-1ff0-4269-9d7b-2eb62673606f;5051
5;24259;2024-10-03;true;25233;22926;2024-10-04;c9f56d37-8e97-4468-a717-e588c607224c;3676
6;12719;2024-10-03;true;27933;4976;2024-10-04;2b1b7710-40f8-4921-8502-19544bac8d83;11438
7;7715;2024-10-04;true;16610;6371;2024-10-04;3fd52743-2fc7-4b1e-9089-22ab05557aec;8959
8;5869;2024-10-03;true;15141;9457;2024-10-04;0b4617a6-0b51-442b-897d-b9873605380b;18851
9;4967;2024-10-03;false;4154;8763;2024-10-03;dc10dd0d-50a2-44d1-bed0-e10b2ba7209f;4965
10;4461;2024-10-04;true;31069;448;2024-10-04;2d0cb42f-0cd7-45e3-be61-16c056d4567f;11148
